"","long","lat","order","hole","piece","id","group"
"240",16.935754,50.436353,240,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"241",16.935102,50.436332,241,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"242",16.932226,50.43625,242,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"243",16.928082,50.436132,243,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"244",16.927936,50.438272,244,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"245",16.927934,50.43831,245,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"246",16.927779,50.440633,246,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"247",16.924761,50.440546,247,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"248",16.920757,50.44043,248,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"249",16.920598,50.442786,249,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"250",16.920454,50.444931,250,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"251",16.917275,50.444837,251,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"252",16.913432,50.444724,252,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"253",16.90641,50.444519,253,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"254",16.899388,50.444314,254,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"255",16.892364,50.444106,255,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"256",16.892523,50.441779,256,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"257",16.892671,50.439605,257,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"258",16.885652,50.4394,258,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"259",16.878627,50.439195,259,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"260",16.878937,50.434689,260,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"261",16.879245,50.430188,261,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"262",16.872223,50.42998,262,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"263",16.872533,50.425479,263,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"264",16.872838,50.420975,264,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"265",16.865821,50.420768,265,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"266",16.865882,50.419868,266,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"267",16.866128,50.416267,267,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"268",16.866438,50.411763,268,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"269",16.85964,50.411562,269,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"270",16.859421,50.411556,270,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"271",16.859731,50.407054,271,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"272",16.862666,50.407141,272,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"273",16.866746,50.407262,273,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"274",16.866945,50.404356,274,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"275",16.867054,50.40276,275,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"276",16.870345,50.402859,276,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"277",16.874069,50.40297,277,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"278",16.874206,50.400973,278,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"279",16.874379,50.398464,279,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"280",16.878217,50.39858,280,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"281",16.879844,50.398628,281,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"282",16.881392,50.398674,282,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"283",16.881508,50.396973,283,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"284",16.881574,50.395996,284,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"285",16.881699,50.394173,285,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"286",16.882752,50.394202,286,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
"287",16.885827,50.394293,287,FALSE,"1","Dolnoslaskie","Dolnoslaskie.1"
